Ábalos Meco, José Luis  (GS)
Abascal Conde, Santiago  (GVOX)
Aceves Galindo, José Luis  (GS)
Agirretxea Urresti, Joseba Andoni  (GV (EAJ-PNV))
Aizcorbe Torra, Juan José  (GVOX)
Aizpurua Arzallus, Mertxe  (GEH Bildu)
Alcaraz Martos, Francisco José  (GVOX)
Alfonso Cendón, Javier  (GS)
Almodóbar Barceló, Agustín  (GP)
Alonso Pérez, José Ángel  (GP)
Alonso Suárez, María Olga  (GS)
Alonso-Cuevillas i Sayrol, Jaume (GS)
Álvarez de Toledo Peralta-Ramos, Cayetana  (GP)
Álvarez Fanjul, Beatriz  (GP)
Andrés Añón, Carmen  (GS)
Andrés Barea, Josefa  (GS)
Angulo Romero, María Teresa  (GP)
Antón Cacho, Javier  (GS)
Aragonés Mendiguchía, Carlos  (GP)
Aranda Vargas, Francisco  (GS)
Arangüena Fernández, Pablo  (GS)
Arrimadas García, Inés  (GCs)
Asarta Cuevas, Alberto  (GVOX)
Asens Llodrà, Jaume  (GCUP-EC-GC)
Bal Francés, Edmundo  (GCs)
Baldoví Roda, Joan  (GPlu)
Barandiaran Benito, Íñigo  (GV (EAJ-PNV))
Bas Corugeira, Javier  (GP)
Bassa Coll, Montserrat  (GR)
Batet Lamaña, Meritxell  (GS)
Bel Accensi, Ferran  (GPlu)
Belarra Urteaga, Ione  (GCUP-EC-GC)
Beltrán Villalba, Ana María  (GP)
Berja Vega, Laura  (GS)
Bermúdez de Castro Fernández, José Antonio  (GP)
Betoret Coll, Vicente  (GP)
Blanquer Alcaraz, Patricia  (GS)
Boadella Esteve, Genís  (GPlu)
Borràs Castanyer, Laura  (GPlu)
Borrás Pabón, Mireia  (GVOX)
Borrego Cortés, Isabel María  (GP)
Botella Gómez, Ana María  (GS)
Botran Pahissa, Albert  (GMx)
Bravo Barco, Eva  (GS)
Bueno Campanario, Eva Patricia  (GS)
Caballero Gutiérrez, Helena  (GS)
Cabezón Casas, Tomás  (GP)
Callejas Cano, Juan Antonio  (GP)
Calvo Liste, Pablo Juan  (GVOX)
Calvo Poyato, Carmen  (GS)
Cambronero Piqueras, Pablo  (GCs)
Campo Moreno, Juan Carlos  (GS)
Cañadell Salvia, Concep  (GPlu)
Canales Duque, Mariana de Gracia  (GS)
Cancela Rodríguez, Pilar  (GS)
Cañizares Pacheco, Inés María  (GVOX)
Cantera de Castro, Zaida  (GS)
Capdevila i Esteve, Joan  (GR)
Carazo Hermoso, Eduardo  (GP)
Carcedo Roces, María Luisa  (GS)
Carrillo de los Reyes, Beatriz Micaela  (GS)
Carvalho Dantas, María  (GR)
Casado Blanco, Pablo  (GP)
Casares Hontañón, Pedro  (GS)
Casero Ávila, Alberto  (GP)
Castellón Rubio, Miguel Ángel  (GP)
Castillo López, Elena  (GP)
Celaá Diéguez, Isabel  (GS)
Cerdán León, Santos  (GS)
Cerqueiro González, Javier  (GS)
Chamorro Delmo, Ricardo  (GVOX)
Clavell López, Óscar  (GP)
Contreras Peláez, Francisco José  (GVOX)
Corredor Sierra, María Beatriz  (GS)
Cortés Carballo, Mario  (GP)
Cortés Gómez, Ismael  (GCUP-EC-GC)
Crespín Rubio, Rafaela  (GS)
Cruz-Guzmán García, María Soledad  (GP)
Cuatrecasas Asua, Juan  (GS)
De las Heras Fernández, Patricia  (GVOX)
De Luna Tobarra, Llanos  (GP)
De Meer Méndez, Rocío  (GVOX)
De Quinto Romero, Marcos  (GCs)
Del Valle Rodríguez, Emilio Jesús  (GVOX)
Delgado Arce, Celso Luis  (GP)
Delgado García, Dolores  (GS)
Díaz Gómez, Guillermo  (GCs)
Díaz Pérez, Yolanda  (GCUP-EC-GC)
Diouf Dioh, Luc Andre  (GS)
Duque Duque, Pedro  (GS)
Durán Peralta, José Carlos  (GS)
Echániz Salgado, José Ignacio  (GP)
Echenique Robba, Pablo  (GCUP-EC-GC)
Elizo Serrano, María Gloria  (GCUP-EC-GC)
Elorza González, Odón  (GS)
Eritja Ciuró, Francesc Xavier  (GR)
Errejón Galván, Íñigo  (GPlu)
España Reina, Carolina  (GP)
Espejo-Saavedra Conesa, José María  (GCs)
Espinosa de los Monteros de Simón, Iván  (GVOX)
Esteban Bravo, Aitor  (GV (EAJ-PNV))
Esteban Calonje, Cristina Alicia  (GVOX)
Fagúndez Campo, Antidio  (GS)
Faneca López, María Luisa  (GS)
Fernández Benéitez, Andrea  (GS)
Fernández Casero, Ana Belén  (GS)
Fernández Castañón, Sofía  (GCUP-EC-GC)
Fernández Hernández, Pedro  (GVOX)
Fernández Ríos, Tomás  (GVOX)
Fernández-Lomana Gutiérrez, Rafael  (GVOX)
Fernández-Roca Suárez, Carlos Hugo  (GVOX)
Ferrer Tesoro, Sonia  (GS)
Figaredo Álvarez-Sala, José María  (GVOX)
Franco Carmona, Isabel  (GCUP-EC-GC)
Franco Pardo, José Manuel  (GS)
Gago Bugarín, Diego  (GP)
Gamarra Ruiz-Clavijo, Concepción  (GP)
Gamazo Micó, Óscar  (GP)
Garcés Sanagustín, Mario  (GP)
García Adanero, Carlos  (GMx)
García Chavarría, María Montserrat  (GS)
García Díez, Joaquín María  (GP)
García Egea, Teodoro  (GP)
García Gómez, Valentín  (GS)
García López, Maribel  (GS)
García Morís, Roberto  (GS)
García Puig, María del Mar  (GCUP-EC-GC)
García Rodríguez, Alicia  (GP)
García Tejerina, Isabel  (GP)
García-Pelayo Jurado, María José  (GP)
Garrido Gutiérrez, Pilar  (GCUP-EC-GC)
Garriga Vaz de Concicao, Ignacio  (GVOX)
Garzón Espinosa, Alberto  (GCUP-EC-GC)
Gázquez Collado, Paloma  (GP)
Gestoso de Miguel, Luis  (GVOX)
Gil Lázaro, Ignacio  (GVOX)
Giménez Giménez, Sara  (GCs)
Gómez Hernández, Héctor  (GS)
Gómez-Reino Varela, Antonio  (GCUP-EC-GC)
González Caballero, Miguel Ángel  (GS)
González Coello de Portugal, Víctor  (GVOX)
González Guinda, María del Carmen  (GP)
González Pérez, Ariagona  (GS)
González Ramos, Manuel Gabriel  (GS)
González Terol, Antonio  (GP)
González Vázquez, Marta  (GP)
Gorospe Elezcano, Josune  (GV (EAJ-PNV))
Grande-Marlaska Gómez, Fernando  (GS)
Granollers Cunillera, Inés  (GR)
Guaita Esteruelas, Sandra  (GS)
Guijarro Ceballos, María  (GS)
Guijarro García, Txema  (GCUP-EC-GC)
Guinart Moreno, Lídia  (GS)
Guirao Cabrera, José  (GS)
Guitarte Gimeno, Tomás  (GPlu)
Gutiérrez Díaz de Otazu, Fernando Adolfo  (GP)
Gutiérrez Prieto, Sergio  (GS)
Hernanz Costa, Sofía  (GS)
Herrero Bono, José Alberto  (GP)
Hispán Iglesias de Ussel, Pablo  (GP)
Honrubia Hurtado, Pedro Antonio  (GCUP-EC-GC)
Hoyo Juliá, Belén  (GP)
Iglesias Turrión, Pablo  (GCUP-EC-GC)
Illamola Dausà, Mariona  (GPlu)
Illueca Ballester, Héctor  (GCUP-EC-GC)
Iñarritu García, Jon  (GEH Bildu)
Izquierdo Roncero, José Javier  (GS)
Jerez Juan, Miguel Ángel  (GP)
Jiménez Linuesa, Beatriz  (GP)
Jiménez Revuelta, Rodrigo  (GVOX)
Jiménez-Becerril Barrio, María Teresa  (GP)
Jover Díaz, Antonia  (GCUP-EC-GC)
Lamuà Estañol, Marc  (GS)
Lastra Fernández, Adriana  (GS)
Ledesma Martín, Sebastián Jesús  (GP)
Legarda Uriarte, Mikel  (GV (EAJ-PNV))
Lima Cid, Fuensanta  (GS)
López Álvarez, María Teresa  (GVOX)
López Álvarez, Patxi  (GS)
López Cano, Ignacio  (GS)
López de Uralde Garmendia, Juan Antonio  (GCUP-EC-GC)
López Domínguez, Laura  (GCUP-EC-GC)
López Maraver, Ángel  (GVOX)
López Zamora, Cristina  (GS)
Lorite Lorite, Andrés  (GP)
Maestro Moliner, Roser  (GCUP-EC-GC)
Máñez Rodríguez, Elena  (GS)
Manso Olivar, Rubén Silvano  (GVOX)
Marcos Domínguez, Pilar  (GP)
Marcos Ortega, Milagros  (GP)
Margall Sastre, Joan  (GR)
Marí Klose, Pau  (GS)
Mariscal Anaya, Guillermo  (GP)
Mariscal Zabala, Manuel  (GVOX)
Maroto Illera, Reyes  (GS)
Márquez Guerrero, María  (GCUP-EC-GC)
Marra Domínguez, María Ángeles  (GS)
Marrodán Funes, María  (GS)
Martín Llaguno, Marta  (GCs)
Martínez Ferro, María Valentina  (GP)
Martínez Granados, María Carmen  (GCs)
Martínez Oblanca, Isidro Manuel  (GMx)
Martínez Seijo, María Luz  (GS)
Matarí Sáez, Juan José  (GP)
Mateu Istúriz, Jaime Miguel  (GP)
Matute García de Jalón, Oskar  (GEH Bildu)
Mayoral Perales, Rafael  (GCUP-EC-GC)
Mazón Ramos, José María  (GPlu)
Meijón Couselo, Guillermo Antonio  (GS)
Mena Arca, Joan  (GCUP-EC-GC)
Méndez Monasterio, Lourdes  (GVOX)
Merino Martínez, Javier  (GP)
Mestre Barea, Manuel  (GVOX)
Mínguez García, Montse  (GS)
Miquel i Valentí, Sergi  (GPlu)
Moneo Díez, María Sandra  (GP)
Montero Cuadrado, María Jesús  (GS)
Montero Gil, Irene María  (GCUP-EC-GC)
Montesinos Aguayo, Pablo  (GP)
Montesinos de Miguel, Macarena  (GP)
Montilla Martos, José Antonio  (GS)
Moraleja Gómez, Tristana María  (GP)
Moro Almaraz, María Jesús  (GP)
Movellán Lombilla, Diego  (GP)
Muñoz Dalda, Lucía  (GCUP-EC-GC)
Muñoz Vidal, María  (GCs)
Narváez Bandera, María Dolores  (GS)
Nasarre Oliva, Begoña  (GS)
Navarro Lacoba, Carmen  (GP)
Navarro López, Pedro  (GP)
Nevado del Campo, María Magdalena  (GVOX)
Nogueras i Camero, Míriam  (GPlu)
Nuet Pujals, Joan Josep  (GR)
Olano Vela, Jaime Eduardo de  (GP)
Olona Choclán, Macarena  (GVOX)
Oramas González-Moro, Ana María  (GPlu)
Ortega Otero, Marina  (GS)
Ortega Smith-Molina, Francisco Javier  (GVOX)
Ortiz Galván, José  (GP)
Padilla Ruiz, Esther  (GS)
Paniagua Núñez, Miguel Ángel  (GP)
Pastor Julián, Ana María  (GP)
Pedreño Molina, Juan Luis  (GP)
Peña Camarero, Esther  (GS)
Perea i Conillas, María Mercè  (GS)
Pérez Abellás, Adolfo  (GS)
Pérez Díaz, María Auxiliadora  (GP)
Píriz Maya, Víctor Valentín  (GP)
Pisarello Prados, Gerardo  (GCUP-EC-GC)
Pita Cárdenes, María del Carmen  (GCUP-EC-GC)
Planas Puchades, Luis  (GS)
Polo Llavata, Francisco  (GS)
Pons Sampietro, Pere Joan  (GS)
Postigo Quintana, Jesús  (GP)
Pozueta Fernández, Isabel  (GEH Bildu)
Prieto Nieto, Ana  (GS)
Prohens Rigo, Margarita  (GP)
Pujol i Farré, Norma  (GR)
Quevedo Iturbe, Pedro  (GPlu)
Ramallo Vázquez, María Pilar  (GP)
Ramírez Carner, Arnau  (GS)
Ramírez del Río, José  (GVOX)
Ramón Utrabo, Elvira  (GS)
Ramos Esteban, César Joaquín  (GS)
Ramos Rodríguez, José Luis  (GS)
Raya Rodríguez, María Tamara  (GS)
Redondo Calvillo, María de la O  (GP)
Rego Candamil, Néstor  (GPlu)
Renau Martínez, Germán  (GS)
Requejo Novoa, Pedro Jesús  (GVOX)
Requena Ruiz, Juan Diego  (GP)
Ribera Rodríguez, Teresa  (GS)
Riolobos Regadera, Carmen  (GP)
Robles Fernández, Margarita  (GS)
Robles López, Joaquín  (GVOX)
Rodríguez Almeida, Andrés Alberto  (GVOX)
Rodríguez Gómez, María del Pilar  (GS)
Rodríguez Gómez de Celis, Alfonso  (GS)
Rodríguez Herrer, María Elvira  (GP)
Rodríguez Rodríguez, Alberto  (GCUP-EC-GC)
Rodríguez Salas, José Antonio  (GS)
Rojas García, Carlos  (GP)
Romero Hernández, Carmelo  (GP)
Romero Sánchez, Rosa María  (GP)
Romero Vilches, María de los Reyes  (GVOX)
Ros Martínez, Susana  (GS)
Rosell Aguilar, María Victoria  (GCUP-EC-GC)
Rosety Fernández de Castro, Agustín  (GVOX)
Rosique i Saltor, Marta  (GR)
Rueda Perelló, Patricia  (GVOX)
Rufián Romero, Gabriel  (GR)
Ruiz de Pinedo Undiano, Iñaki  (GEH Bildu)
Ruiz i Carbonell, Joan  (GS)
Ruiz Navarro, Eduardo Luis  (GVOX)
Ruiz Solás, María de la Cabeza  (GVOX)
Saavedra Muñoz, Marisa  (GCUP-EC-GC)
Sabanés Nadal, Inés  (GPlu)
Sáez Alonso-Muñumer, Pablo  (GVOX)
Sagastizabal Unzetabarrenetxea, Idoia  (GV (EAJ-PNV))
Sahuquillo García, Luis Carlos  (GS)
Salazar Rodríguez, Francisco José  (GS)
Salvá Verd, Antonio  (GVOX)
Salvador i Duch, Jordi  (GR)
Sánchez del Real, Víctor Manuel  (GVOX)
Sánchez Escobar, Mariano  (GS)
Sánchez García, José María  (GVOX)
Sánchez Jódar, Marisol  (GS)
Sánchez Pérez, César  (GP)
Sánchez Pérez-Castejón, Pedro  (GS)
Sánchez Serna, Javier  (GCUP-EC-GC)
Sancho Guardia, Alfredo  (GS)
Sancho Íñiguez, Herminio Rufino  (GS)
Santamaría Ruiz, Luis  (GP)
Santiago Romero, Enrique Fernando  (GCUP-EC-GC)
Sarrià Morell, Vicent Manuel  (GS)
Saura García, Pedro  (GS)
Sayas López, Sergio  (GMx)
Serrada Pariente, David  (GS)
Serrano Martínez, Juan Francisco  (GS)
Seva Ruiz, Yolanda  (GS)
Sicilia Alférez, Felipe Jesús  (GS)
Simancas Simancas, Rafael  (GS)
Soler Mur, Alejandro  (GS)
Soto Burillo, Juan Luis  (GS)
Steegmann Olmedillas, Juan Luis  (GVOX)
Suárez Illana, Adolfo  (GP)
Suárez Lamata, Eloy  (GP)
Sumelzo Jordán, Susana  (GS)
Telechea i Lozano, Carolina  (GR)
Tirado Ochoa, Vicente  (GP)
Toscano de Balbín, Carla  (GVOX)
Trías Gil, Georgina  (GVOX)
Uriarte Bengoechea, Edurne  (GP)
Uriarte Torrealday, Roberto  (GCUP-EC-GC)
Utrilla Cano, Julio  (GVOX)
Valerio Cordero, Magdalena  (GS)
Vallugera Balañà, Pilar  (GR)
Vázquez Blanco, Ana Belén  (GP)
Vega Arias, Rubén Darío  (GVOX)
Vehí Cantenys, Mireia  (GMx)
Velarde Gómez, Martina  (GCUP-EC-GC)
Velasco Morillo, Elvira  (GP)
Vera Ruíz-Herrera, Noelia  (GCUP-EC-GC)
Vicente Viondi, Daniel  (GS)
Vidal Sáez, Aina  (GCUP-EC-GC)
Vilches Ruiz, María Luisa  (GS)
Villagrasa Quero, Noemí  (GS)
Zamarrón Moreno, Agustín  (GS)
Zambrano García-Raez, Carlos José  (GVOX)
Zaragoza Alonso, José  (GS)
Zurita Expósito, Ana María  (GP)
Darias San Sebastián, Carolina (GS)
Escrivá Belmonte, Jose Luis (GS)
Conesa Alcaraz, Diego (GS)
Illa Roca, Salvador (GS)
Leal Fernández, Isaura (GS)
González Laya, Arancha (GS)
